year,acronym,position,points
2023,VER,1,575.0
2023,PER,2,285.0
2023,HAM,3,234.0
2023,ALO,4,206.0
2023,LEC,5,206.0
2023,NOR,6,205.0
2023,SAI,7,200.0
2023,RUS,8,175.0
2023,PIA,9,97.0
2023,STR,10,74.0
2023,GAS,11,62.0
2023,OCO,12,58.0
2023,ALB,13,27.0
2023,TSU,14,17.0
2023,BOT,15,10.0
2023,HUL,16,9.0
2023,RIC,17,6.0
2023,ZHO,18,6.0
2023,MAG,19,3.0
2023,LAW,20,2.0
2023,SAR,21,1.0
2023,DEV,22,0.0
2024,VER,1,437.0
2024,NOR,2,374.0
2024,LEC,3,356.0
2024,PIA,4,292.0
2024,SAI,5,290.0
2024,RUS,6,245.0
2024,HAM,7,223.0
2024,PER,8,152.0
2024,ALO,9,70.0
2024,GAS,10,42.0
2024,HUL,11,41.0
2024,TSU,12,30.0
2024,STR,13,24.0
2024,OCO,14,23.0
2024,MAG,15,16.0
2024,ALB,16,12.0
2024,RIC,17,12.0
2024,BEA,18,7.0
2024,COL,19,5.0
2024,ZHO,20,4.0
2024,LAW,21,4.0
2024,BOT,22,0.0
2024,SAR,23,0.0
2024,DOO,24,0.0
2025,NOR,1,423.0
2025,VER,2,421.0
2025,PIA,3,410.0
2025,RUS,4,319.0
2025,LEC,5,242.0
2025,HAM,6,156.0
2025,ANT,7,150.0
2025,ALB,8,73.0
2025,SAI,9,64.0
2025,ALO,10,56.0
2025,HUL,11,51.0
2025,HAD,12,51.0
2025,BEA,13,41.0
2025,LAW,14,38.0
2025,OCO,15,38.0
2025,STR,16,33.0
2025,TSU,17,33.0
2025,GAS,18,22.0
2025,BOR,19,19.0
2025,COL,20,0.0
2025,DOO,21,0.0
