year,round,grandPrix,acronym,position,points
2023,1,Bahrain,VER,1,25.0
2023,1,Bahrain,PER,2,18.0
2023,1,Bahrain,ALO,3,15.0
2023,1,Bahrain,SAI,4,12.0
2023,1,Bahrain,HAM,5,10.0
2023,1,Bahrain,STR,6,8.0
2023,1,Bahrain,RUS,7,6.0
2023,1,Bahrain,BOT,8,4.0
2023,1,Bahrain,GAS,9,2.0
2023,1,Bahrain,ALB,10,1.0
2023,1,Bahrain,TSU,11,0.0
2023,1,Bahrain,SAR,12,0.0
2023,1,Bahrain,MAG,13,0.0
2023,1,Bahrain,DEV,14,0.0
2023,1,Bahrain,HUL,15,0.0
2023,1,Bahrain,ZHO,16,0.0
2023,1,Bahrain,NOR,17,0.0
2023,2,Jeddah,VER,1,44.0
2023,2,Jeddah,PER,2,43.0
2023,2,Jeddah,ALO,3,30.0
2023,2,Jeddah,SAI,4,20.0
2023,2,Jeddah,HAM,5,20.0
2023,2,Jeddah,RUS,6,18.0
2023,2,Jeddah,STR,7,8.0
2023,2,Jeddah,LEC,8,6.0
2023,2,Jeddah,BOT,9,4.0
2023,2,Jeddah,OCO,10,4.0
2023,2,Jeddah,GAS,11,4.0
2023,2,Jeddah,MAG,12,1.0
2023,2,Jeddah,ALB,13,1.0
2023,2,Jeddah,TSU,14,0.0
2023,2,Jeddah,HUL,15,0.0
2023,2,Jeddah,SAR,16,0.0
2023,2,Jeddah,ZHO,17,0.0
2023,2,Jeddah,DEV,18,0.0
2023,2,Jeddah,PIA,19,0.0
2023,2,Jeddah,NOR,20,0.0
2023,3,Melbourne,VER,1,69.0
2023,3,Melbourne,PER,2,54.0
2023,3,Melbourne,ALO,3,45.0
2023,3,Melbourne,HAM,4,38.0
2023,3,Melbourne,SAI,5,20.0
2023,3,Melbourne,STR,6,20.0
2023,3,Melbourne,RUS,7,18.0
2023,3,Melbourne,NOR,8,8.0
2023,3,Melbourne,HUL,9,6.0
2023,3,Melbourne,LEC,10,6.0
2023,3,Melbourne,BOT,11,4.0
2023,3,Melbourne,OCO,12,4.0
2023,3,Melbourne,PIA,13,4.0
2023,3,Melbourne,GAS,14,4.0
2023,3,Melbourne,ZHO,15,2.0
2023,3,Melbourne,TSU,16,1.0
2023,3,Melbourne,MAG,17,1.0
2023,3,Melbourne,ALB,18,1.0
2023,3,Melbourne,SAR,19,0.0
2023,3,Melbourne,DEV,20,0.0
2023,4,Baku,VER,1,93.0
2023,4,Baku,PER,2,87.0
2023,4,Baku,ALO,3,60.0
2023,4,Baku,HAM,4,48.0
2023,4,Baku,SAI,5,34.0
2023,4,Baku,LEC,6,28.0
2023,4,Baku,RUS,7,28.0
2023,4,Baku,STR,8,27.0
2023,4,Baku,NOR,9,10.0
2023,4,Baku,HUL,10,6.0
2023,4,Baku,PIA,11,4.0
2023,4,Baku,BOT,12,4.0
2023,4,Baku,OCO,13,4.0
2023,4,Baku,GAS,14,4.0
2023,4,Baku,ZHO,15,2.0
2023,4,Baku,TSU,16,2.0
2023,4,Baku,ALB,17,1.0
2023,4,Baku,MAG,18,1.0
2023,4,Baku,SAR,19,0.0
2023,4,Baku,DEV,20,0.0
2023,5,Miami,VER,1,119.0
2023,5,Miami,PER,2,105.0
2023,5,Miami,ALO,3,75.0
2023,5,Miami,HAM,4,56.0
2023,5,Miami,SAI,5,44.0
2023,5,Miami,RUS,6,40.0
2023,5,Miami,LEC,7,34.0
2023,5,Miami,STR,8,27.0
2023,5,Miami,NOR,9,10.0
2023,5,Miami,GAS,10,8.0
2023,5,Miami,HUL,11,6.0
2023,5,Miami,OCO,12,6.0
2023,5,Miami,BOT,13,4.0
2023,5,Miami,PIA,14,4.0
2023,5,Miami,ZHO,15,2.0
2023,5,Miami,TSU,16,2.0
2023,5,Miami,MAG,17,2.0
2023,5,Miami,ALB,18,1.0
2023,5,Miami,SAR,19,0.0
2023,5,Miami,DEV,20,0.0
2023,6,Monaco,VER,1,144.0
2023,6,Monaco,PER,2,105.0
2023,6,Monaco,ALO,3,93.0
2023,6,Monaco,HAM,4,69.0
2023,6,Monaco,RUS,5,50.0
2023,6,Monaco,SAI,6,48.0
2023,6,Monaco,LEC,7,42.0
2023,6,Monaco,STR,8,27.0
2023,6,Monaco,OCO,9,21.0
2023,6,Monaco,GAS,10,14.0
2023,6,Monaco,NOR,11,12.0
2023,6,Monaco,HUL,12,6.0
2023,6,Monaco,PIA,13,5.0
2023,6,Monaco,BOT,14,4.0
2023,6,Monaco,ZHO,15,2.0
2023,6,Monaco,TSU,16,2.0
2023,6,Monaco,MAG,17,2.0
2023,6,Monaco,ALB,18,1.0
2023,6,Monaco,DEV,19,0.0
2023,6,Monaco,SAR,20,0.0
2023,7,Barcelona,VER,1,170.0
2023,7,Barcelona,PER,2,117.0
2023,7,Barcelona,ALO,3,99.0
2023,7,Barcelona,HAM,4,87.0
2023,7,Barcelona,RUS,5,65.0
2023,7,Barcelona,SAI,6,58.0
2023,7,Barcelona,LEC,7,42.0
2023,7,Barcelona,STR,8,35.0
2023,7,Barcelona,OCO,9,25.0
2023,7,Barcelona,GAS,10,15.0
2023,7,Barcelona,NOR,11,12.0
2023,7,Barcelona,HUL,12,6.0
2023,7,Barcelona,PIA,13,5.0
2023,7,Barcelona,BOT,14,4.0
2023,7,Barcelona,ZHO,15,4.0
2023,7,Barcelona,TSU,16,2.0
2023,7,Barcelona,MAG,17,2.0
2023,7,Barcelona,ALB,18,1.0
2023,7,Barcelona,DEV,19,0.0
2023,7,Barcelona,SAR,20,0.0
2023,8,Montreal,VER,1,195.0
2023,8,Montreal,PER,2,126.0
2023,8,Montreal,ALO,3,117.0
2023,8,Montreal,HAM,4,102.0
2023,8,Montreal,SAI,5,68.0
2023,8,Montreal,RUS,6,65.0
2023,8,Montreal,LEC,7,54.0
2023,8,Montreal,STR,8,37.0
2023,8,Montreal,OCO,9,29.0
2023,8,Montreal,GAS,10,15.0
2023,8,Montreal,NOR,11,12.0
2023,8,Montreal,ALB,12,7.0
2023,8,Montreal,HUL,13,6.0
2023,8,Montreal,PIA,14,5.0
2023,8,Montreal,BOT,15,5.0
2023,8,Montreal,ZHO,16,4.0
2023,8,Montreal,TSU,17,2.0
2023,8,Montreal,MAG,18,2.0
2023,8,Montreal,DEV,19,0.0
2023,8,Montreal,SAR,20,0.0
2023,9,Austria,VER,1,229.0
2023,9,Austria,PER,2,148.0
2023,9,Austria,ALO,3,131.0
2023,9,Austria,HAM,4,106.0
2023,9,Austria,SAI,5,82.0
2023,9,Austria,LEC,6,72.0
2023,9,Austria,RUS,7,72.0
2023,9,Austria,STR,8,44.0
2023,9,Austria,OCO,9,31.0
2023,9,Austria,NOR,10,24.0
2023,9,Austria,GAS,11,16.0
2023,9,Austria,HUL,12,9.0
2023,9,Austria,ALB,13,7.0
2023,9,Austria,PIA,14,5.0
2023,9,Austria,BOT,15,5.0
2023,9,Austria,ZHO,16,4.0
2023,9,Austria,TSU,17,2.0
2023,9,Austria,MAG,18,2.0
2023,9,Austria,SAR,19,0.0
2023,9,Austria,DEV,20,0.0
2023,10,Silverstone,VER,1,255.0
2023,10,Silverstone,PER,2,156.0
2023,10,Silverstone,ALO,3,137.0
2023,10,Silverstone,HAM,4,121.0
2023,10,Silverstone,SAI,5,83.0
2023,10,Silverstone,RUS,6,82.0
2023,10,Silverstone,LEC,7,74.0
2023,10,Silverstone,STR,8,44.0
2023,10,Silverstone,NOR,9,42.0
2023,10,Silverstone,OCO,10,31.0
2023,10,Silverstone,PIA,11,17.0
2023,10,Silverstone,GAS,12,16.0
2023,10,Silverstone,ALB,13,11.0
2023,10,Silverstone,HUL,14,9.0
2023,10,Silverstone,BOT,15,5.0
2023,10,Silverstone,ZHO,16,4.0
2023,10,Silverstone,TSU,17,2.0
2023,10,Silverstone,MAG,18,2.0
2023,10,Silverstone,SAR,19,0.0
2023,10,Silverstone,DEV,20,0.0
2023,11,Hungary,VER,1,281.0
2023,11,Hungary,PER,2,171.0
2023,11,Hungary,ALO,3,139.0
2023,11,Hungary,HAM,4,133.0
2023,11,Hungary,RUS,5,90.0
2023,11,Hungary,SAI,6,87.0
2023,11,Hungary,LEC,7,80.0
2023,11,Hungary,NOR,8,60.0
2023,11,Hungary,STR,9,45.0
2023,11,Hungary,OCO,10,31.0
2023,11,Hungary,PIA,11,27.0
2023,11,Hungary,GAS,12,16.0
2023,11,Hungary,ALB,13,11.0
2023,11,Hungary,HUL,14,9.0
2023,11,Hungary,BOT,15,5.0
2023,11,Hungary,ZHO,16,4.0
2023,11,Hungary,TSU,17,2.0
2023,11,Hungary,MAG,18,2.0
2023,11,Hungary,SAR,19,0.0
2023,11,Hungary,DEV,20,0.0
2023,11,Hungary,RIC,21,0.0
2023,12,Spa,VER,1,314.0
2023,12,Spa,PER,2,189.0
2023,12,Spa,ALO,3,149.0
2023,12,Spa,HAM,4,148.0
2023,12,Spa,LEC,5,99.0
2023,12,Spa,RUS,6,99.0
2023,12,Spa,SAI,7,92.0
2023,12,Spa,NOR,8,69.0
2023,12,Spa,STR,9,47.0
2023,12,Spa,OCO,10,35.0
2023,12,Spa,PIA,11,34.0
2023,12,Spa,GAS,12,22.0
2023,12,Spa,ALB,13,11.0
2023,12,Spa,HUL,14,9.0
2023,12,Spa,BOT,15,5.0
2023,12,Spa,ZHO,16,4.0
2023,12,Spa,TSU,17,3.0
2023,12,Spa,MAG,18,2.0
2023,12,Spa,SAR,19,0.0
2023,12,Spa,DEV,20,0.0
2023,12,Spa,RIC,21,0.0
2023,13,Zandvoort,VER,1,339.0
2023,13,Zandvoort,PER,2,201.0
2023,13,Zandvoort,ALO,3,168.0
2023,13,Zandvoort,HAM,4,156.0
2023,13,Zandvoort,SAI,5,102.0
2023,13,Zandvoort,LEC,6,99.0
2023,13,Zandvoort,RUS,7,99.0
2023,13,Zandvoort,NOR,8,75.0
2023,13,Zandvoort,STR,9,47.0
2023,13,Zandvoort,GAS,10,37.0
2023,13,Zandvoort,OCO,11,36.0
2023,13,Zandvoort,PIA,12,36.0
