year,circuit,overtaking_driver_number,overtaken_driver_number,overtaking_acronym,overtaken_acronym,events,clean_events
2023,Austin,1,4,VER,NOR,1,1
2023,Austin,1,10,VER,GAS,1,0
2023,Austin,1,11,VER,PER,2,0
2023,Austin,1,16,VER,LEC,3,2
2023,Austin,1,22,VER,TSU,1,0
2023,Austin,1,44,VER,HAM,2,0
2023,Austin,1,55,VER,SAI,2,1
2023,Austin,1,63,VER,RUS,2,1
2023,Austin,2,3,SAR,RIC,2,1
2023,Austin,2,14,SAR,ALO,2,1
2023,Austin,2,18,SAR,STR,2,1
2023,Austin,2,20,SAR,MAG,2,1
2023,Austin,2,23,SAR,ALB,3,1
2023,Austin,2,24,SAR,ZHO,3,1
2023,Austin,2,27,SAR,HUL,2,1
2023,Austin,2,31,SAR,OCO,1,1
2023,Austin,2,77,SAR,BOT,3,1
2023,Austin,2,81,SAR,PIA,1,1
2023,Austin,3,2,RIC,SAR,1,0
2023,Austin,3,10,RIC,GAS,1,0
2023,Austin,3,11,RIC,PER,1,0
2023,Austin,3,14,RIC,ALO,2,2
2023,Austin,3,18,RIC,STR,1,1
2023,Austin,3,22,RIC,TSU,1,0
2023,Austin,3,23,RIC,ALB,1,0
2023,Austin,3,24,RIC,ZHO,2,0
2023,Austin,3,27,RIC,HUL,1,0
2023,Austin,3,31,RIC,OCO,1,1
2023,Austin,3,55,RIC,SAI,1,0
2023,Austin,3,63,RIC,RUS,2,0
2023,Austin,3,77,RIC,BOT,2,1
2023,Austin,3,81,RIC,PIA,1,1
2023,Austin,4,11,NOR,PER,1,0
2023,Austin,4,16,NOR,LEC,3,2
2023,Austin,4,44,NOR,HAM,2,0
2023,Austin,4,55,NOR,SAI,2,1
2023,Austin,4,63,NOR,RUS,1,0
2023,Austin,10,1,GAS,VER,1,0
2023,Austin,10,3,GAS,RIC,1,0
2023,Austin,10,11,GAS,PER,1,0
2023,Austin,10,14,GAS,ALO,2,0
2023,Austin,10,18,GAS,STR,2,0
2023,Austin,10,23,GAS,ALB,1,0
2023,Austin,10,27,GAS,HUL,1,0
2023,Austin,10,31,GAS,OCO,1,1
2023,Austin,10,55,GAS,SAI,1,0
2023,Austin,10,63,GAS,RUS,1,0
2023,Austin,10,81,GAS,PIA,2,2
2023,Austin,11,1,PER,VER,2,0
2023,Austin,11,3,PER,RIC,1,1
2023,Austin,11,4,PER,NOR,1,0
2023,Austin,11,10,PER,GAS,2,1
2023,Austin,11,14,PER,ALO,1,0
2023,Austin,11,16,PER,LEC,2,1
2023,Austin,11,18,PER,STR,1,0
2023,Austin,11,31,PER,OCO,1,1
2023,Austin,11,55,PER,SAI,2,1
2023,Austin,11,63,PER,RUS,2,0
2023,Austin,11,81,PER,PIA,2,2
2023,Austin,14,2,ALO,SAR,2,2
2023,Austin,14,3,ALO,RIC,2,1
2023,Austin,14,10,ALO,GAS,2,0
2023,Austin,14,11,ALO,PER,1,0
2023,Austin,14,18,ALO,STR,3,2
2023,Austin,14,20,ALO,MAG,2,1
2023,Austin,14,22,ALO,TSU,3,1
2023,Austin,14,23,ALO,ALB,2,1
2023,Austin,14,24,ALO,ZHO,2,1
2023,Austin,14,27,ALO,HUL,1,1
2023,Austin,14,31,ALO,OCO,1,1
2023,Austin,14,55,ALO,SAI,1,0
2023,Austin,14,63,ALO,RUS,1,0
2023,Austin,14,77,ALO,BOT,2,1
2023,Austin,14,81,ALO,PIA,1,1
2023,Austin,16,1,LEC,VER,2,0
2023,Austin,16,4,LEC,NOR,2,0
2023,Austin,16,11,LEC,PER,1,0
2023,Austin,16,44,LEC,HAM,2,0
2023,Austin,16,55,LEC,SAI,1,0
2023,Austin,18,2,STR,SAR,3,1
2023,Austin,18,3,STR,RIC,2,2
2023,Austin,18,10,STR,GAS,2,0
2023,Austin,18,11,STR,PER,1,0
2023,Austin,18,14,STR,ALO,5,3
2023,Austin,18,20,STR,MAG,3,0
2023,Austin,18,22,STR,TSU,4,1
2023,Austin,18,23,STR,ALB,3,0
2023,Austin,18,24,STR,ZHO,3,0
2023,Austin,18,27,STR,HUL,2,1
2023,Austin,18,31,STR,OCO,3,1
2023,Austin,18,63,STR,RUS,1,0
2023,Austin,18,77,STR,BOT,3,0
2023,Austin,18,81,STR,PIA,2,1
2023,Austin,20,2,MAG,SAR,2,1
2023,Austin,20,3,MAG,RIC,1,0
2023,Austin,20,14,MAG,ALO,2,2
2023,Austin,20,18,MAG,STR,2,1
2023,Austin,20,22,MAG,TSU,2,2
2023,Austin,20,24,MAG,ZHO,5,3
2023,Austin,20,27,MAG,HUL,2,1
2023,Austin,20,31,MAG,OCO,1,1
2023,Austin,20,77,MAG,BOT,2,1
2023,Austin,20,81,MAG,PIA,1,0
2023,Austin,22,1,TSU,VER,1,0
2023,Austin,22,3,TSU,RIC,1,0
2023,Austin,22,14,TSU,ALO,3,1
2023,Austin,22,18,TSU,STR,3,1
2023,Austin,22,20,TSU,MAG,3,3
2023,Austin,22,24,TSU,ZHO,2,2
2023,Austin,22,27,TSU,HUL,2,1
2023,Austin,22,31,TSU,OCO,1,1
2023,Austin,22,77,TSU,BOT,1,1
2023,Austin,22,81,TSU,PIA,1,1
2023,Austin,23,2,ALB,SAR,3,1
2023,Austin,23,3,ALB,RIC,2,1
2023,Austin,23,14,ALB,ALO,2,1
2023,Austin,23,18,ALB,STR,1,0
2023,Austin,23,24,ALB,ZHO,2,1
2023,Austin,23,27,ALB,HUL,2,0
2023,Austin,23,31,ALB,OCO,1,1
2023,Austin,23,77,ALB,BOT,2,2
2023,Austin,23,81,ALB,PIA,2,1
2023,Austin,24,2,ZHO,SAR,2,0
2023,Austin,24,3,ZHO,RIC,2,0
2023,Austin,24,14,ZHO,ALO,2,1
2023,Austin,24,18,ZHO,STR,2,1
2023,Austin,24,20,ZHO,MAG,5,3
2023,Austin,24,22,ZHO,TSU,1,1
2023,Austin,24,23,ZHO,ALB,1,0
2023,Austin,24,27,ZHO,HUL,1,0
2023,Austin,24,31,ZHO,OCO,1,1
2023,Austin,24,77,ZHO,BOT,2,1
2023,Austin,24,81,ZHO,PIA,1,0
2023,Austin,27,2,HUL,SAR,2,1
2023,Austin,27,3,HUL,RIC,2,2
2023,Austin,27,10,HUL,GAS,1,0
2023,Austin,27,14,HUL,ALO,1,1
2023,Austin,27,18,HUL,STR,1,1
2023,Austin,27,20,HUL,MAG,3,2
