year,grand_prix,circuit,events,on_track,formation,post_race,unlap_under_sc,under_sc,pit,retired,burst,lap1,bounce,tag_formation,tag_post_race,tag_unlap_under_sc,tag_under_sc,tag_pit,tag_retired,tag_on_track,on_track_share
2023,Abu Dhabi,Yas Marina Circuit,354,95,0,4,0,0,255,0,43,15,10,0,4,0,0,255,0,95,0.268361581920904
2023,Austin,Austin,330,138,0,0,0,0,180,14,51,49,23,0,0,0,0,180,12,138,0.41818181818181815
2023,Austria,Spielberg,424,171,0,3,0,47,248,2,81,75,54,0,3,0,47,202,1,171,0.4033018867924528
2023,Bahrain,Sakhir,394,219,0,0,0,19,154,21,160,154,128,0,0,0,19,144,12,219,0.5558375634517766
2023,Baku,Baku,216,115,0,0,0,38,69,12,70,33,22,0,0,0,38,53,10,115,0.5324074074074074
2023,Barcelona,Catalunya,358,96,0,0,0,0,262,0,48,38,51,0,0,0,0,262,0,96,0.2681564245810056
2023,Hungary,Hungaroring,238,77,0,0,0,0,161,2,68,55,10,0,0,0,0,161,0,77,0.3235294117647059
2023,Jeddah,Jeddah,168,86,0,0,0,27,69,11,20,21,22,0,0,0,27,45,10,86,0.5119047619047619
2023,Las Vegas,Las Vegas,341,164,0,0,0,48,164,12,101,66,16,0,0,0,48,121,8,164,0.4809384164222874
2023,Melbourne,Melbourne,264,97,0,0,0,134,20,38,109,33,55,0,0,0,134,3,30,97,0.36742424242424243
2023,Mexico City,Mexico City,283,97,0,16,0,72,100,4,60,55,71,0,16,0,72,95,3,97,0.34275618374558303
2023,Miami,Miami,215,142,0,0,0,0,73,0,32,42,32,0,0,0,0,73,0,142,0.6604651162790698
2023,Monaco,Monte Carlo,146,118,0,0,0,0,25,4,19,16,25,0,0,0,0,25,3,118,0.8082191780821918
2023,Montreal,Montreal,181,48,0,3,1,47,112,14,53,19,20,0,3,1,46,71,12,48,0.26519337016574585
2023,Monza,Monza,231,61,0,0,0,0,160,10,32,17,32,0,0,0,0,160,10,61,0.26406926406926406
2023,Qatar,Lusail,865,395,0,0,1,33,398,74,511,341,302,0,0,1,32,367,70,395,0.45664739884393063
2023,Sao Paulo,Interlagos,323,149,0,0,1,174,117,10,100,112,58,0,0,1,173,0,0,149,0.4613003095975232
2023,Silverstone,Silverstone,145,33,0,0,0,42,80,14,6,20,2,0,0,0,42,57,13,33,0.22758620689655173
2023,Singapore,Singapore,212,114,0,8,0,42,68,22,45,35,37,0,8,0,42,26,22,114,0.5377358490566038
2023,Spa,Spa-Francorchamps,492,184,0,1,0,0,288,22,206,92,58,0,1,0,0,288,19,184,0.37398373983739835
2023,Suzuka,Suzuka,265,76,0,1,0,30,182,6,34,44,25,0,1,0,30,152,6,76,0.28679245283018867
2023,Zandvoort,Zandvoort,517,176,0,0,0,13,331,8,133,35,40,0,0,0,13,324,4,176,0.3404255319148936
2024,Abu Dhabi,Yas Marina Circuit,242,109,0,2,0,0,117,14,67,76,35,0,2,0,0,117,14,109,0.45041322314049587
2024,Austin,Austin,249,138,0,2,0,3,101,8,43,62,31,0,2,0,3,98,8,138,0.5542168674698795
2024,Austria,Spielberg,326,113,0,2,0,3,197,14,22,48,43,0,2,0,3,197,11,113,0.34662576687116564
2024,Bahrain,Sakhir,413,238,0,0,0,0,175,0,206,194,156,0,0,0,0,175,0,238,0.576271186440678
